Seconds,Bytes,Structure,Workload,Verb,Number
1.01,92413,3-Level,w1,ListRecords,1
0.57,92413,3-Level,w1,ListRecords,1
0.54,92413,3-Level,w1,ListRecords,1
0.51,92413,3-Level,w1,ListRecords,1
0.53,92413,3-Level,w1,ListRecords,1
0.02,1068,3-Level,w1,ListIdentifiers,1
0.02,1068,3-Level,w1,ListIdentifiers,1
0.01,1068,3-Level,w1,ListIdentifiers,1
0.02,1068,3-Level,w1,ListIdentifiers,1
0.01,1068,3-Level,w1,ListIdentifiers,1
0.01,530,3-Level,w1,ListSets,1
0,530,3-Level,w1,ListSets,1
0.02,529,3-Level,w1,ListSets,1
0,529,3-Level,w1,ListSets,1
0.02,529,3-Level,w1,ListSets,1
0.01,1734,3-Level,w1,GetRecord,1
0.02,1731,3-Level,w1,GetRecord,1
0.01,1731,3-Level,w1,GetRecord,1
0.02,1731,3-Level,w1,GetRecord,1
0.02,1731,3-Level,w1,GetRecord,1
0.01,1312,3-Level,w1,GetRecord,1
0.02,1312,3-Level,w1,GetRecord,1
0.02,1312,3-Level,w1,GetRecord,1
0.02,1312,3-Level,w1,GetRecord,1
0.02,1312,3-Level,w1,GetRecord,1
1.54,188103,3-Level,w2,ListRecords,2
1.09,188104,3-Level,w2,ListRecords,2
1.08,188104,3-Level,w2,ListRecords,2
1.09,188104,3-Level,w2,ListRecords,2
1.08,188104,3-Level,w2,ListRecords,2
0.03,1659,3-Level,w2,ListIdentifiers,2
0.03,1659,3-Level,w2,ListIdentifiers,2
0.03,1659,3-Level,w2,ListIdentifiers,2
0.03,1659,3-Level,w2,ListIdentifiers,2
0.03,1658,3-Level,w2,ListIdentifiers,2
0.01,587,3-Level,w2,ListSets,2
0.02,588,3-Level,w2,ListSets,2
0,588,3-Level,w2,ListSets,2
0.02,587,3-Level,w2,ListSets,2
0.01,588,3-Level,w2,ListSets,2
0.02,641,3-Level,w2,GetRecord,2
0.02,641,3-Level,w2,GetRecord,2
0.02,642,3-Level,w2,GetRecord,2
0.02,642,3-Level,w2,GetRecord,2
0.02,641,3-Level,w2,GetRecord,2
0.02,1312,3-Level,w2,GetRecord,2
0.02,1312,3-Level,w2,GetRecord,2
0.02,1312,3-Level,w2,GetRecord,2
0.02,1312,3-Level,w2,GetRecord,2
0.01,1312,3-Level,w2,GetRecord,2
3.47,382582,3-Level,w3,ListRecords,3
2.19,382582,3-Level,w3,ListRecords,3
2.23,382582,3-Level,w3,ListRecords,3
2.22,382582,3-Level,w3,ListRecords,3
2.23,382582,3-Level,w3,ListRecords,3
0.07,2814,3-Level,w3,ListIdentifiers,3
0.06,2814,3-Level,w3,ListIdentifiers,3
0.06,2814,3-Level,w3,ListIdentifiers,3
0.06,2813,3-Level,w3,ListIdentifiers,3
0.06,2813,3-Level,w3,ListIdentifiers,3
0.02,708,3-Level,w3,ListSets,3
0.01,708,3-Level,w3,ListSets,3
0.01,708,3-Level,w3,ListSets,3
0.02,709,3-Level,w3,ListSets,3
0.01,708,3-Level,w3,ListSets,3
0.02,2929,3-Level,w3,GetRecord,3
0.02,2929,3-Level,w3,GetRecord,3
0.02,2929,3-Level,w3,GetRecord,3
0.02,2929,3-Level,w3,GetRecord,3
0.02,2928,3-Level,w3,GetRecord,3
0.03,3365,3-Level,w3,GetRecord,3
0.02,3362,3-Level,w3,GetRecord,3
0.01,3362,3-Level,w3,GetRecord,3
0.03,3365,3-Level,w3,GetRecord,3
0.02,3365,3-Level,w3,GetRecord,3
4.49,754623,3-Level,w4,ListRecords,4
4.55,754623,3-Level,w4,ListRecords,4
4.66,754623,3-Level,w4,ListRecords,4
4.75,754623,3-Level,w4,ListRecords,4
4.67,754623,3-Level,w4,ListRecords,4
0.17,5039,3-Level,w4,ListIdentifiers,4
0.16,5040,3-Level,w4,ListIdentifiers,4
0.18,5039,3-Level,w4,ListIdentifiers,4
0.17,5040,3-Level,w4,ListIdentifiers,4
0.17,5040,3-Level,w4,ListIdentifiers,4
0.02,840,3-Level,w4,ListSets,4
0.01,839,3-Level,w4,ListSets,4
0.01,838,3-Level,w4,ListSets,4
0.02,839,3-Level,w4,ListSets,4
0.02,839,3-Level,w4,ListSets,4
0.03,1683,3-Level,w4,GetRecord,4
0.03,1683,3-Level,w4,GetRecord,4
0.02,1681,3-Level,w4,GetRecord,4
0.02,1682,3-Level,w4,GetRecord,4
0.03,1681,3-Level,w4,GetRecord,4
0.03,1869,3-Level,w4,GetRecord,4
0.03,1869,3-Level,w4,GetRecord,4
0.02,1869,3-Level,w4,GetRecord,4
0.03,1868,3-Level,w4,GetRecord,4
0.03,1869,3-Level,w4,GetRecord,4
7.6,931487,3-Level,w5,ListRecords,5
6.07,931487,3-Level,w5,ListRecords,5
6.26,931487,3-Level,w5,ListRecords,5
6.17,931484,3-Level,w5,ListRecords,5
6.29,931487,3-Level,w5,ListRecords,5
0.39,6602,3-Level,w5,ListIdentifiers,5
0.39,6602,3-Level,w5,ListIdentifiers,5
0.4,6602,3-Level,w5,ListIdentifiers,5
0.39,6602,3-Level,w5,ListIdentifiers,5
0.39,6602,3-Level,w5,ListIdentifiers,5
0.02,1069,3-Level,w5,ListSets,5
0.02,1069,3-Level,w5,ListSets,5
0.02,1068,3-Level,w5,ListSets,5
0.02,1068,3-Level,w5,ListSets,5
0.02,1069,3-Level,w5,ListSets,5
0.04,1868,3-Level,w5,GetRecord,5
0.03,1868,3-Level,w5,GetRecord,5
0.03,1868,3-Level,w5,GetRecord,5
0.04,1868,3-Level,w5,GetRecord,5
0.04,1868,3-Level,w5,GetRecord,5
0.03,1868,3-Level,w5,GetRecord,5
0.04,1868,3-Level,w5,GetRecord,5
0.04,1868,3-Level,w5,GetRecord,5
0.03,1868,3-Level,w5,GetRecord,5
0.04,1868,3-Level,w5,GetRecord,5
6.6,956750,3-Level,w6,ListRecords,6
6.68,956750,3-Level,w6,ListRecords,6
6.62,956750,3-Level,w6,ListRecords,6
6.69,956750,3-Level,w6,ListRecords,6
6.6,956750,3-Level,w6,ListRecords,6
0.76,6993,3-Level,w6,ListIdentifiers,6
0.77,6994,3-Level,w6,ListIdentifiers,6
0.76,6994,3-Level,w6,ListIdentifiers,6
0.77,6994,3-Level,w6,ListIdentifiers,6
0.76,6993,3-Level,w6,ListIdentifiers,6
0.03,1433,3-Level,w6,ListSets,6
0.03,1433,3-Level,w6,ListSets,6
0.03,1433,3-Level,w6,ListSets,6
0.03,1433,3-Level,w6,ListSets,6
0.03,1433,3-Level,w6,ListSets,6
0.48,1868,3-Level,w6,GetRecord,6
0.06,1868,3-Level,w6,GetRecord,6
0.05,1869,3-Level,w6,GetRecord,6
0.06,1868,3-Level,w6,GetRecord,6
0.05,1868,3-Level,w6,GetRecord,6
0.05,2490,3-Level,w6,GetRecord,6
0.05,2490,3-Level,w6,GetRecord,6
0.05,2489,3-Level,w6,GetRecord,6
0.06,2489,3-Level,w6,GetRecord,6
0.06,2490,3-Level,w6,GetRecord,6
8.44,117630,3-Level,w7,ListRecords,7
7.12,117630,3-Level,w7,ListRecords,7
7.08,117630,3-Level,w7,ListRecords,7
7.02,117630,3-Level,w7,ListRecords,7
7.07,117630,3-Level,w7,ListRecords,7
1.58,4997,3-Level,w7,ListIdentifiers,7
1.57,4997,3-Level,w7,ListIdentifiers,7
1.59,4997,3-Level,w7,ListIdentifiers,7
1.58,4997,3-Level,w7,ListIdentifiers,7
1.58,4997,3-Level,w7,ListIdentifiers,7
0.09,7187,3-Level,w7,ListSets,7
0.08,7187,3-Level,w7,ListSets,7
0.09,7187,3-Level,w7,ListSets,7
0.08,7187,3-Level,w7,ListSets,7
0.09,7187,3-Level,w7,ListSets,7
0.12,480,3-Level,w7,GetRecord,7
0.11,480,3-Level,w7,GetRecord,7
0.12,480,3-Level,w7,GetRecord,7
0.11,480,3-Level,w7,GetRecord,7
0.12,480,3-Level,w7,GetRecord,7
0.15,2491,3-Level,w7,GetRecord,7
0.12,2491,3-Level,w7,GetRecord,7
0.12,2490,3-Level,w7,GetRecord,7
0.11,2491,3-Level,w7,GetRecord,7
0.12,2490,3-Level,w7,GetRecord,7
16.95,141604,3-Level,w8,ListRecords,8
8.75,141608,3-Level,w8,ListRecords,8
8.74,141608,3-Level,w8,ListRecords,8
8.77,141608,3-Level,w8,ListRecords,8
8.72,141608,3-Level,w8,ListRecords,8
3.18,4893,3-Level,w8,ListIdentifiers,8
3.21,4893,3-Level,w8,ListIdentifiers,8
3.2,4893,3-Level,w8,ListIdentifiers,8
3.22,4890,3-Level,w8,ListIdentifiers,8
3.18,4892,3-Level,w8,ListIdentifiers,8
0.19,15618,3-Level,w8,ListSets,8
0.18,15618,3-Level,w8,ListSets,8
0.17,15618,3-Level,w8,ListSets,8
0.18,15618,3-Level,w8,ListSets,8
0.17,15618,3-Level,w8,ListSets,8
0.22,474,3-Level,w8,GetRecord,8
0.22,474,3-Level,w8,GetRecord,8
0.23,475,3-Level,w8,GetRecord,8
0.22,475,3-Level,w8,GetRecord,8
0.22,475,3-Level,w8,GetRecord,8
0.25,2490,3-Level,w8,GetRecord,8
0.22,2492,3-Level,w8,GetRecord,8
0.22,2490,3-Level,w8,GetRecord,8
0.23,2490,3-Level,w8,GetRecord,8
0.22,2490,3-Level,w8,GetRecord,8
23.2,192627,3-Level,w9,ListRecords,9
12.08,192627,3-Level,w9,ListRecords,9
12.27,192627,3-Level,w9,ListRecords,9
12.21,192627,3-Level,w9,ListRecords,9
12.3,192627,3-Level,w9,ListRecords,9
6.5,6002,3-Level,w9,ListIdentifiers,9
6.56,6002,3-Level,w9,ListIdentifiers,9
6.53,6002,3-Level,w9,ListIdentifiers,9
6.6,6002,3-Level,w9,ListIdentifiers,9
6.54,6001,3-Level,w9,ListIdentifiers,9
0.32,25949,3-Level,w9,ListSets,9
0.3,25950,3-Level,w9,ListSets,9
0.31,25949,3-Level,w9,ListSets,9
0.31,25950,3-Level,w9,ListSets,9
0.3,25950,3-Level,w9,ListSets,9
0.41,1575,3-Level,w9,GetRecord,9
0.41,1575,3-Level,w9,GetRecord,9
0.42,1575,3-Level,w9,GetRecord,9
0.41,1574,3-Level,w9,GetRecord,9
0.41,1575,3-Level,w9,GetRecord,9
0.42,2490,3-Level,w9,GetRecord,9
0.42,2490,3-Level,w9,GetRecord,9
0.4,2490,3-Level,w9,GetRecord,9
0.41,2490,3-Level,w9,GetRecord,9
0.41,2490,3-Level,w9,GetRecord,9
39.88,216085,3-Level,w10,ListRecords,10
19.28,216086,3-Level,w10,ListRecords,10
20.04,216085,3-Level,w10,ListRecords,10
19.4,216085,3-Level,w10,ListRecords,10
20.16,216084,3-Level,w10,ListRecords,10
13.45,4696,3-Level,w10,ListIdentifiers,10
13.95,4696,3-Level,w10,ListIdentifiers,10
13.84,4696,3-Level,w10,ListIdentifiers,10
14.05,4695,3-Level,w10,ListIdentifiers,10
13.87,4694,3-Level,w10,ListIdentifiers,10
0.61,45749,3-Level,w10,ListSets,10
0.59,45750,3-Level,w10,ListSets,10
0.57,45750,3-Level,w10,ListSets,10
0.58,45749,3-Level,w10,ListSets,10
0.59,45750,3-Level,w10,ListSets,10
0.82,599,3-Level,w10,GetRecord,10
0.8,598,3-Level,w10,GetRecord,10
0.79,598,3-Level,w10,GetRecord,10
0.8,598,3-Level,w10,GetRecord,10
0.8,599,3-Level,w10,GetRecord,10
0.81,589,3-Level,w10,GetRecord,10
0.8,588,3-Level,w10,GetRecord,10
0.8,589,3-Level,w10,GetRecord,10
0.79,589,3-Level,w10,GetRecord,10
0.8,588,3-Level,w10,GetRecord,10
75.2,216107,3-Level,w11,ListRecords,11
33.66,216111,3-Level,w11,ListRecords,11
36.3,216111,3-Level,w11,ListRecords,11
35.01,216108,3-Level,w11,ListRecords,11
37.31,216109,3-Level,w11,ListRecords,11
28.43,4773,3-Level,w11,ListIdentifiers,11
31.56,4773,3-Level,w11,ListIdentifiers,11
29.43,4773,3-Level,w11,ListIdentifiers,11
31.93,4773,3-Level,w11,ListIdentifiers,11
29.71,4773,3-Level,w11,ListIdentifiers,11
1.1,75386,3-Level,w11,ListSets,11
1.06,75386,3-Level,w11,ListSets,11
1.05,75386,3-Level,w11,ListSets,11
1.06,75386,3-Level,w11,ListSets,11
1.06,75386,3-Level,w11,ListSets,11
1.55,599,3-Level,w11,GetRecord,11
1.54,600,3-Level,w11,GetRecord,11
1.54,599,3-Level,w11,GetRecord,11
1.53,599,3-Level,w11,GetRecord,11
1.53,599,3-Level,w11,GetRecord,11
1.56,589,3-Level,w11,GetRecord,11
1.54,589,3-Level,w11,GetRecord,11
1.54,589,3-Level,w11,GetRecord,11
1.53,589,3-Level,w11,GetRecord,11
1.54,589,3-Level,w11,GetRecord,11
125.22,806065,3-Level,w12,ListRecords,12
70.71,806067,3-Level,w12,ListRecords,12
74.68,806067,3-Level,w12,ListRecords,12
72.69,806061,3-Level,w12,ListRecords,12
76.85,806067,3-Level,w12,ListRecords,12
64.42,5000,3-Level,w12,ListIdentifiers,12
