START:  w1
add , b1 , commit :  true , status : 0 , QTime : 825 , None , FileProcessing :  842.564941406
add , b1 , status : 0 , Total :  842.679931641
add , b2 , commit :  true , status : 0 , QTime : 624 , None , FileProcessing :  632.047119141
add , b2 , commit :  true , status : 0 , QTime : 780 , None , FileProcessing :  784.041748047
add , b2 , commit :  true , status : 0 , QTime : 681 , None , FileProcessing :  687.113037109
add , b2 , commit :  true , status : 0 , QTime : 644 , None , FileProcessing :  661.016845703
add , b2 , commit :  true , status : 0 , QTime : 650 , None , FileProcessing :  653.201171875
add , b2 , commit :  true , status : 0 , QTime : 1226 , None , FileProcessing :  1229.90112305
add , b2 , commit :  true , status : 0 , QTime : 1191 , None , FileProcessing :  1207.87817383
add , b2 , commit :  true , status : 0 , QTime : 1240 , None , FileProcessing :  1246.72021484
add , b2 , commit :  true , status : 0 , QTime : 673 , None , FileProcessing :  676.161132812
add , b2 , commit :  true , status : 0 , QTime : 1201 , None , FileProcessing :  1203.93994141
add , b2 , status : 0 , Total :  8994.18896484
add , b3 , commit :  true , status : 0 , QTime : 1762 , None , FileProcessing :  1764.94677734
add , b3 , commit :  true , status : 0 , QTime : 692 , None , FileProcessing :  694.895996094
add , b3 , commit :  true , status : 0 , QTime : 647 , None , FileProcessing :  649.867919922
add , b3 , commit :  true , status : 0 , QTime : 610 , None , FileProcessing :  613.172119141
add , b3 , commit :  true , status : 0 , QTime : 697 , None , FileProcessing :  699.425048828
add , b3 , commit :  true , status : 0 , QTime : 664 , None , FileProcessing :  667.134033203
add , b3 , commit :  true , status : 0 , QTime : 614 , None , FileProcessing :  616.919189453
add , b3 , commit :  true , status : 0 , QTime : 635 , None , FileProcessing :  638.358154297
add , b3 , commit :  true , status : 0 , QTime : 1662 , None , FileProcessing :  1664.72509766
add , b3 , commit :  true , status : 0 , QTime : 1188 , None , FileProcessing :  1190.78173828
add , b3 , commit :  true , status : 0 , QTime : 698 , None , FileProcessing :  702.187988281
add , b3 , commit :  true , status : 0 , QTime : 691 , None , FileProcessing :  694.881835938
