START:  w1
add , b1 , commit :  true , status : 0 , QTime : 669 , None , FileProcessing :  683.202880859
add , b1 , status : 0 , Total :  683.331054688
delete , b1 , status : 0 , QTime : 0 , None
add , b2 , commit :  true , status : 0 , QTime : 592 , None , FileProcessing :  595.478027344
add , b2 , commit :  true , status : 0 , QTime : 684 , None , FileProcessing :  687.797119141
add , b2 , commit :  true , status : 0 , QTime : 637 , None , FileProcessing :  641.763916016
add , b2 , commit :  true , status : 0 , QTime : 636 , None , FileProcessing :  639.205078125
add , b2 , commit :  true , status : 0 , QTime : 620 , None , FileProcessing :  624.207763672
add , b2 , commit :  true , status : 0 , QTime : 1151 , None , FileProcessing :  1154.34008789
add , b2 , commit :  true , status : 0 , QTime : 643 , None , FileProcessing :  645.729980469
add , b2 , commit :  true , status : 0 , QTime : 613 , None , FileProcessing :  616.377197266
add , b2 , commit :  true , status : 0 , QTime : 670 , None , FileProcessing :  672.820068359
add , b2 , commit :  true , status : 0 , QTime : 1918 , None , FileProcessing :  1920.18994141
add , b2 , status : 0 , Total :  8198.21679688
delete , b2 , status : 0 , QTime : 0 , None
delete , b2 , status : 0 , QTime : 1 , None
delete , b2 , status : 0 , QTime : 0 , None
delete , b2 , status : 0 , QTime : 0 , None
delete , b2 , status : 0 , QTime : 1 , None
delete , b2 , status : 0 , QTime : 1 , None
delete , b2 , status : 0 , QTime : 0 , None
delete , b2 , status : 0 , QTime : 0 , None
delete , b2 , status : 0 , QTime : 0 , None
delete , b2 , status : 0 , QTime : 0 , None
add , b3 , commit :  true , status : 0 , QTime : 1153 , None , FileProcessing :  1156.17895508
add , b3 , commit :  true , status : 0 , QTime : 1176 , None , FileProcessing :  1178.48291016
add , b3 , commit :  true , status : 0 , QTime : 615 , None , FileProcessing :  617.320068359
add , b3 , commit :  true , status : 0 , QTime : 592 , None , FileProcessing :  595.040039062
add , b3 , commit :  true , status : 0 , QTime : 1197 , None , FileProcessing :  1201.04003906
add , b3 , commit :  true , status : 0 , QTime : 618 , None , FileProcessing :  621.643066406
add , b3 , commit :  true , status : 0 , QTime : 649 , None , FileProcessing :  652.322998047
add , b3 , commit :  true , status : 0 , QTime : 633 , None , FileProcessing :  635.921875
add , b3 , commit :  true , status : 0 , QTime : 1708 , None , FileProcessing :  1711.26489258
add , b3 , commit :  true , status : 0 , QTime : 1129 , None , FileProcessing :  1132.49707031
add , b3 , commit :  true , status : 0 , QTime : 967 , None , FileProcessing :  968.801025391
add , b3 , commit :  true , status : 0 , QTime : 761 , None , FileProcessing :  763.885986328
add , b3 , commit :  true , status : 0 , QTime : 1141 , None , FileProcessing :  1145.07006836
add , b3 , commit :  true , status : 0 , QTime : 598 , None , FileProcessing :  600.978027344
add , b3 , commit :  true , status : 0 , QTime : 724 , None , FileProcessing :  726.730957031
add , b3 , commit :  true , status : 0 , QTime : 600 , None , FileProcessing :  603.898193359
add , b3 , commit :  true , status : 0 , QTime : 1618 , None , FileProcessing :  1621.89306641
add , b3 , commit :  true , status : 0 , QTime : 750 , None , FileProcessing :  752.943115234
add , b3 , commit :  true , status : 0 , QTime : 1124 , None , FileProcessing :  1127.08789062
add , b3 , commit :  true , status : 0 , QTime : 637 , None , FileProcessing :  640.747070312
add , b3 , commit :  true , status : 0 , QTime : 1392 , None , FileProcessing :  1395.95776367
add , b3 , commit :  true , status : 0 , QTime : 888 , None , FileProcessing :  891.776123047
add , b3 , commit :  true , status : 0 , QTime : 624 , None , FileProcessing :  627.986083984
add , b3 , commit :  true , status : 0 , QTime : 1166 , None , FileProcessing :  1169.27783203
add , b3 , commit :  true , status : 0 , QTime : 1223 , None , FileProcessing :  1226.30297852
add , b3 , commit :  true , status : 0 , QTime : 599 , None , FileProcessing :  602.788085938
add , b3 , commit :  true , status : 0 , QTime : 664 , None , FileProcessing :  667.640869141
add , b3 , commit :  true , status : 0 , QTime : 1600 , None , FileProcessing :  1604.39208984
add , b3 , commit :  true , status : 0 , QTime : 1120 , None , FileProcessing :  1124.28417969
add , b3 , commit :  true , status : 0 , QTime : 649 , None , FileProcessing :  652.813964844
add , b3 , commit :  true , status : 0 , QTime : 648 , None , FileProcessing :  652.151123047
add , b3 , commit :  true , status : 0 , QTime : 600 , None , FileProcessing :  603.859863281
add , b3 , commit :  true , status : 0 , QTime : 597 , None , FileProcessing :  600.154785156
add , b3 , commit :  true , status : 0 , QTime : 685 , None , FileProcessing :  687.385253906
add , b3 , commit :  true , status : 0 , QTime : 1873 , None , FileProcessing :  1875.50390625
add , b3 , commit :  true , status : 0 , QTime : 602 , None , FileProcessing :  605.556152344
add , b3 , commit :  true , status : 0 , QTime : 1739 , None , FileProcessing :  1741.10595703
add , b3 , commit :  true , status : 0 , QTime : 616 , None , FileProcessing :  619.638916016
add , b3 , commit :  true , status : 0 , QTime : 589 , None , FileProcessing :  593.060791016
add , b3 , commit :  true , status : 0 , QTime : 632 , None , FileProcessing :  635.571044922
add , b3 , commit :  true , status : 0 , QTime : 678 , None , FileProcessing :  681.354003906
add , b3 , commit :  true , status : 0 , QTime : 600 , None , FileProcessing :  603.826171875
add , b3 , commit :  true , status : 0 , QTime : 1776 , None , FileProcessing :  1779.76220703
add , b3 , commit :  true , status : 0 , QTime : 1093 , None , FileProcessing :  1097.1862793
add , b3 , commit :  true , status : 0 , QTime : 645 , None , FileProcessing :  648.120117188
add , b3 , commit :  true , status : 0 , QTime : 1113 , None , FileProcessing :  1115.58007812
add , b3 , commit :  true , status : 0 , QTime : 1551 , None , FileProcessing :  1554.21313477
add , b3 , commit :  true , status : 0 , QTime : 1249 , None , FileProcessing :  1251.71679688
add , b3 , commit :  true , status : 0 , QTime : 593 , None , FileProcessing :  595.852050781
add , b3 , commit :  true , status : 0 , QTime : 648 , None , FileProcessing :  651.800048828
add , b3 , commit :  true , status : 0 , QTime : 1259 , None , FileProcessing :  1262.04321289
add , b3 , commit :  true , status : 0 , QTime : 592 , None , FileProcessing :  595.420898438
add , b3 , commit :  true , status : 0 , QTime : 598 , None , FileProcessing :  601.419921875
add , b3 , commit :  true , status : 0 , QTime : 661 , None , FileProcessing :  662.848144531
add , b3 , commit :  true , status : 0 , QTime : 1161 , None , FileProcessing :  1164.24975586
add , b3 , commit :  true , status : 0 , QTime : 1649 , None , FileProcessing :  1652.83203125
add , b3 , commit :  true , status : 0 , QTime : 647 , None , FileProcessing :  650.208007812
add , b3 , commit :  true , status : 0 , QTime : 603 , None , FileProcessing :  606.785888672
add , b3 , commit :  true , status : 0 , QTime : 992 , None , FileProcessing :  994.9140625
add , b3 , commit :  true , status : 0 , QTime : 640 , None , FileProcessing :  642.318115234
